LON	LAT	COUNT
113.989998	38	3.3873734474
113.989998	40.099998	2.6064815521
114.040001	38.150002	2.3571429253
113.989998	38.049999	8.0647115707
114.040001	38.200001	2.7746686935
113.989998	40.150002	1.7959183455
113.989998	40.200001	1.9411764145
113.989998	38.099998	4.5293502808
114.040001	38.25	4.5393338203
114.040001	38.299999	2.8499999046
113.989998	40.25	1.530120492
113.989998	38.150002	2.0641026497
114.040001	38.349998	1.8243451118
113.989998	40.299999	4.6736111641
113.989998	38.200001	2.5637583733
113.989998	38.25	2.3940434456
114.040001	38.400002	1.8983050585
113.989998	40.349998	3.0818181038
114.040001	38.450001	2.3529412746
113.989998	40.400002	3.3607594967
113.989998	38.299999	2.6966183186
113.989998	38.349998	2.2205324173
114.040001	38.5	1.2564102411
113.989998	40.450001	1.3529411554
113.989998	38.400002	2.444881916
114.040001	38.549999	2.4408740997
113.989998	38.450001	2.2000000477
114.040001	38.599998	2.5851647854
113.989998	40.549999	2
114.040001	38.650002	1.910179615
113.989998	38.5	1.9084507227
113.989998	38.549999	2.5270588398
114.040001	38.700001	1.7333333492
113.989998	40.650002	2.6500000954
113.989998	38.599998	1.4032257795
114.040001	38.75	2.1155555248
114.040001	38.799999	2
113.989998	38.650002	1.9411764145
113.989998	40.75	2.2424242496
113.989998	38.700001	1.8205127716
114.040001	38.849998	1.394495368
114.040001	38.900002	2.5
113.989998	38.75	1.7372881174
113.993279	40.848495	2.5098040104
114.043396	38.949055	1.7866666317
114.043388	38.999023	1
113.993538	38.849247	1.771186471
114.043381	39.048992	2
113.993256	40.998367	2
113.993523	38.949188	4.0434784889
113.993248	41.048325	1.8070175648
114.043365	39.14893	2
113.993515	38.999157	2.2974359989
113.99324	41.098286	1.3478261232
114.043365	39.198902	1
113.993515	39.049129	1.6363636255
113.99324	41.148243	1.8634538651
114.043358	39.248875	2
113.993507	39.099098	3
113.993233	41.198204	1.9724770784
113.9935	39.149067	2.3939394951
113.993225	41.248169	1.5700000525
113.993492	39.199039	1.7352941036
114.043343	39.348824	3.2448558807
113.993217	41.298134	1.7716895342
