TIME	LAT	LON	POPULATION
2019-08-12 10:32:57	38.6	115.4	4
2019-08-12 10:32:57	39.8	116.15	3
2019-08-12 10:32:57	38.6	115.7	3
2019-08-12 10:32:57	39.9	117.7	2
2019-08-12 10:32:57	38.6	115.65	5
2019-08-12 10:32:57	40.15	117.45	2
2019-08-12 10:32:57	39	115.5	5
2019-08-12 10:32:57	40.4	116.85	1
2019-08-12 10:32:57	40.4	116.9	2
2019-08-12 10:32:57	39.75	116.8	2
2019-08-12 10:32:57	39.7	116.2	10
2019-08-12 10:32:57	38.15	114.85	2
2019-08-12 10:32:57	39.7	116.15	8
2019-08-12 10:32:57	39.65	115.95	3
2019-08-12 10:32:57	40.55	115.05	1
2019-08-12 10:32:57	38.1	115	6
2019-08-12 10:32:57	38.4	115.75	2
2019-08-12 10:32:57	38.6	116.1	4
2019-08-12 10:32:57	38.4	115.8	8
2019-08-12 10:32:57	38.1	115.4	4
2019-08-12 10:32:57	40.85	116.2	2
2019-08-12 10:32:57	39.05	115.7	3
2019-08-12 10:32:57	39.25	116.05	2
2019-08-12 10:32:57	38.1	116.25	5
2019-08-12 10:32:57	40	117	1
2019-08-12 10:32:57	38.25	114.05	2
2019-08-12 10:32:57	38.25	116.8	28
2019-08-12 10:32:57	38.25	114.85	4
2019-08-12 10:32:57	39.8	116.3	5
2019-08-12 10:32:57	39.8	117.8	2
2019-08-12 10:32:57	39.1	116	3
2019-08-12 10:32:57	40.35	115.5	14
2019-08-12 10:32:57	41.35	114.75	1
2019-08-12 10:32:57	39.3	115.85	24
2019-08-12 10:32:57	39.75	118	2
2019-08-12 10:32:57	38.05	114.45	29
2019-08-12 10:32:57	39	115.5	1
2019-08-12 10:32:57	40.65	114.4	7
2019-08-12 10:32:57	38.7	115.9	11
2019-08-12 10:32:57	38.05	114.5	21
2019-08-12 10:32:57	38.25	117	2
2019-08-12 10:32:57	38.7	115.85	2
2019-08-12 10:32:57	39.7	116.65	3
2019-08-12 10:32:57	38.7	115.7	3
2019-08-12 10:32:57	39.75	115.9	2
2019-08-12 10:32:57	38.55	114.35	1
2019-08-12 10:32:57	40.7	114.8	12
2019-08-12 10:32:57	38.05	114.5	111
2019-08-12 10:32:57	38.25	117.7	10
2019-08-12 10:32:57	40.95	117.95	7
2019-08-12 10:32:57	38.55	115.65	1
2019-08-12 10:32:57	38.15	114.95	30
2019-08-12 10:32:57	38.6	114.9	3
2019-08-12 10:32:57	38.35	114.4	1
2019-08-12 10:32:57	38.05	116.15	1
2019-08-12 10:32:57	38.45	115.2	4
2019-08-12 10:32:57	39.65	116.5	3
2019-08-12 10:32:57	39.65	116.45	2
2019-08-12 10:32:57	38.95	115.1	1
2019-08-12 10:32:57	39.45	116	9
2019-08-12 10:32:57	38.75	116.4	2
2019-08-12 10:32:57	39.6	116.7	12
2019-08-12 10:32:57	39.05	117.4	2
2019-08-12 10:32:57	38.3	116.95	3
2019-08-12 10:32:57	40	114.6	1
2019-08-12 10:32:57	40.4	115.3	2
2019-08-12 10:32:57	38.35	115.6	2
2019-08-12 10:32:57	39.3	117.7	2
2019-08-12 10:32:57	39.95	117.9	2
2019-08-12 10:32:57	38	115.05	3
2019-08-12 10:32:57	40.35	115.2	81
2019-08-12 10:32:57	40.35	115.15	2
2019-08-12 10:32:57	39.3	117.15	1
2019-08-12 10:32:57	39.85	114.65	4
2019-08-12 10:32:57	38.2	115.4	3
2019-08-12 10:32:57	40.9	117.65	1
2019-08-12 10:32:57	40	117.05	2
2019-08-12 10:32:57	40.55	117.7	5
2019-08-12 10:32:57	40.55	117.65	4
2019-08-12 10:32:57	38.35	115.25	4
2019-08-12 10:32:57	41.5	116.95	4
2019-08-12 10:32:57	40.2	114.55	2
2019-08-12 10:32:57	38.3	115.65	4
2019-08-12 10:32:57	40.2	114.6	1
2019-08-12 10:32:57	39.5	116.6	1
2019-08-12 10:32:57	39.5	116.55	13
2019-08-12 10:32:57	39.15	115.8	5
2019-08-12 10:32:57	38.3	115.25	5
2019-08-12 10:32:57	40.7	117.55	1
2019-08-12 10:32:57	39.15	115.75	2
2019-08-12 10:32:57	39.95	116.9	10
2019-08-12 10:32:57	39.95	116.85	25
2019-08-12 10:32:57	40.05	116.4	2
2019-08-12 10:32:57	41.35	115.85	1
2019-08-12 10:32:57	38.2	115.7	5
2019-08-12 10:32:57	39.7	117.2	1
2019-08-12 10:32:57	38.2	115.25	2
2019-08-12 10:32:57	40.5	114.8	1
2019-08-12 10:32:57	38.2	114.3	4
2019-08-12 10:32:57	38.65	116.3	5
2019-08-12 10:32:57	39.2	116.95	3
2019-08-12 10:32:57	39.35	114.55	2
2019-08-12 10:32:57	40.05	117	3
2019-08-12 10:32:57	38.85	117.05	1
2019-08-12 10:32:57	38	115.3	3
2019-08-12 10:32:57	39.35	114.6	2
2019-08-12 10:32:57	39.8	118	5
2019-08-12 10:32:57	39.2	116.2	2
2019-08-12 10:32:57	38.2	116.7	5
2019-08-12 10:32:57	40.85	117.7	3
2019-08-12 10:32:57	38.5	116.6	1
2019-08-12 10:32:57	39.65	116.55	3
2019-08-12 10:32:57	38.4	115.65	8
2019-08-12 10:32:57	39.1	117.3	5
2019-08-12 10:32:57	38.5	114.7	1
2019-08-12 10:32:57	38	115.55	10
2019-08-12 10:32:57	39.75	115.95	24
2019-08-12 10:32:57	39.4	116.95	2
2019-08-12 10:32:57	38.3	117.85	2
2019-08-12 10:32:57	39.25	116.9	7
2019-08-12 10:32:57	39	117.75	17
2019-08-12 10:32:57	39.4	117.1	3
2019-08-12 10:32:57	40.35	117.6	1
2019-08-12 10:32:57	39.6	116.7	2
2019-08-12 10:32:57	38.4	116.4	2
2019-08-12 10:32:57	38.4	114.95	1
2019-08-12 10:32:57	40.45	114.95	3
2019-08-12 10:32:57	39.9	116.1	26
2019-08-12 10:32:57	38.85	115.05	2
2019-08-12 10:32:57	38.25	116.2	3
2019-08-12 10:32:57	40.05	114.2	4
2019-08-12 10:32:57	40.35	115.6	4
2019-08-12 10:32:57	38.85	115.1	19
2019-08-12 10:32:57	39.1	117.6	2
2019-08-12 10:32:57	40.35	115.95	3
2019-08-12 10:32:57	38.6	116.35	2
2019-08-12 10:32:57	40.35	118	2
2019-08-12 10:32:57	38.4	115.55	6
2019-08-12 10:32:57	38.6	116.7	2
2019-08-12 10:32:57	38.15	115.25	7
2019-08-12 10:32:57	38.15	115.3	5
2019-08-12 10:32:57	39.05	117.35	28
2019-08-12 10:32:57	40.35	117.45	2
2019-08-12 10:32:57	40.55	116.2	2
2019-08-12 10:32:57	38.1	114.45	2
2019-08-12 10:32:57	38.1	114.5	2
2019-08-12 10:32:57	39.65	117.6	2
2019-08-12 10:32:57	39.1	115.6	2
2019-08-12 10:32:57	39.35	116.65	3
2019-08-12 10:32:57	39.95	116.75	33
2019-08-12 10:32:57	40	116.25	60
2019-08-12 10:32:57	38.25	116.3	2
2019-08-12 10:32:57	38.3	115.5	1
2019-08-12 10:32:57	38.3	115.85	2
2019-08-12 10:32:57	38.8	115.35	2
2019-08-12 10:32:57	38.45	114.65	5
2019-08-12 10:32:57	38.45	114.7	2
2019-08-12 10:32:57	39.55	117.15	4
2019-08-12 10:32:57	38.45	117.2	3
2019-08-12 10:32:57	39.15	116.5	4
2019-08-12 10:32:57	38.55	116.05	13
2019-08-12 10:32:57	38.7	116.55	2
2019-08-12 10:32:57	39.7	117.25	4
2019-08-12 10:32:57	39.3	116.4	1
2019-08-12 10:32:57	38.3	117.05	3
2019-08-12 10:32:57	39.3	116.35	3
2019-08-12 10:32:57	39.6	116.85	10
2019-08-12 10:32:57	39.15	117.3	1
2019-08-12 10:32:57	38.6	117.25	2
2019-08-12 10:32:57	38.25	117.55	2
2019-08-12 10:32:57	38.25	117.6	2
2019-08-12 10:32:57	38.4	114.75	10
2019-08-12 10:32:57	38.4	114.8	1
2019-08-12 10:32:57	38.55	114.55	1
2019-08-12 10:32:57	39.25	116.4	2
2019-08-12 10:32:57	38.75	116.55	1
2019-08-12 10:32:57	38.95	116.75	2
2019-08-12 10:32:57	39.45	115.15	3
2019-08-12 10:32:57	39.85	116.6	2
2019-08-12 10:32:57	38.9	117.45	3
2019-08-12 10:32:57	39.85	116.2	16
2019-08-12 10:32:57	39.95	116.95	1
2019-08-12 10:32:57	38.35	116.35	5
2019-08-12 10:32:57	39.35	116.5	1
2019-08-12 10:32:57	38	114.55	91
2019-08-12 10:32:57	38.65	117	2
2019-08-12 10:32:57	40.9	117.7	6
2019-08-12 10:32:57	40.2	117.8	1
2019-08-12 10:32:57	38.45	115.8	4
2019-08-12 10:32:57	38.35	116.15	3
2019-08-12 10:32:57	39.85	116.1	12
2019-08-12 10:32:57	38.85	117.65	5
2019-08-12 10:32:57	39.8	116.15	12
2019-08-12 10:32:57	38.1	116.45	2
2019-08-12 10:32:57	39.75	117.05	3
2019-08-12 10:32:57	40.25	116.2	2
2019-08-12 10:32:57	38.2	116.8	7
2019-08-12 10:32:57	40.3	114.25	2
2019-08-12 10:32:57	38.2	116.35	3
2019-08-12 10:32:57	39	116.1	2
2019-08-12 10:32:57	42	117.35	2
2019-08-12 10:32:57	38.15	114.7	6
2019-08-12 10:32:57	39.65	117.8	2
2019-08-12 10:32:57	38.9	116.3	5
2019-08-12 10:32:57	38	116.9	4
2019-08-12 10:32:57	39.1	115.15	2
2019-08-12 10:32:57	40.2	117.95	26
2019-08-12 10:32:57	39.45	116.2	2
2019-08-12 10:32:57	39.5	116.8	6
2019-08-12 10:32:57	39.5	116.75	13
2019-08-12 10:32:57	38.55	116.25	1
2019-08-12 10:32:57	40.3	114.75	1
2019-08-12 10:32:57	39.35	115.95	3
2019-08-12 10:32:57	40	116.65	39
2019-08-12 10:32:57	39.6	117.15	2
2019-08-12 10:32:57	39.8	116.4	16
2019-08-12 10:32:57	38.35	115.7	3
2019-08-12 10:32:57	38.3	116.7	9
2019-08-12 10:32:57	38.6	116.75	3
2019-08-12 10:32:57	38.7	115.45	3
2019-08-12 10:32:57	38.6	115.8	3
2019-08-12 10:32:57	40.35	117.85	1
2019-08-12 10:32:57	40.45	116.1	1
2019-08-12 10:32:57	38.35	116.15	2
2019-08-12 10:32:57	38.1	114.35	4
2019-08-12 10:32:57	38.1	114.4	6
2019-08-12 10:32:57	39.05	114.8	3
2019-08-12 10:32:57	38.15	115.45	2
2019-08-12 10:32:57	39.3	115.7	2
2019-08-12 10:32:57	39.35	117.2	2
2019-08-12 10:32:57	39.55	116.3	2
2019-08-12 10:32:57	39.85	116.2	5
2019-08-12 10:32:57	39.35	117.15	6
2019-08-12 10:32:57	39.85	116.55	22
2019-08-12 10:32:57	39.5	117.95	1
2019-08-12 10:32:57	38.05	114.65	5
2019-08-12 10:32:57	39	115.7	9
2019-08-12 10:32:57	38.7	115.75	1
2019-08-12 10:32:57	39.15	116	3
2019-08-12 10:32:57	38.25	117.55	2
2019-08-12 10:32:57	38.85	114.85	2
2019-08-12 10:32:57	39.7	116.35	21
